course_id,course_title,description,prerequisites,course_offering,credits
ACC 201,**Principles of Financial Accounting**,"This is an introduction to the organization, presentation and use of financial accounting information. Students will
understand the elements of the accounting system - assets, liabilities, equity, revenues, expenses and dividends.
Emphasis is on acquiring familiarity with the double-entry system and gaining an understanding of the purposes and
uses of the information found within the income statement, balance sheet, statement of stockholder’s equity and the
statement of cash flows.
Core Curriculum/Core Requirements:
Prerequisites: Sophomore Standing or Accounting or Small Business Manangement Majors
Course Typically Offered: Fall & Spring
Credits: 3",Sophomore Standing or Accounting or Small Business Manangement Majors,Fall & Spring,3
ACC 202,**Principles of Managerial Accounting**,"This course is an introduction to the use and preparation of accounting information for management decision-making
and analysis. It includes techniques that can be used by all businesses in evaluating, planning and controlling
operations. The course focuses on how manufacturing costs are accounted for and used to make business decisions, the
nature of cost-volume-profit relationships and the contribution margin approach to decision making, preparation and
use of budgets and financial statements for a manufacturing company. It includes an introduction to job order and
standard costing systems.
Core Curriculum/Core Requirements:
Prerequisites: ACC 201 with a C- or higher.
Course Typically Offered: Fall & Spring
Credits: 3",ACC 201 with a C- or higher.,Fall & Spring,3
ACC 301,**Intermediate Accounting I**,"An examination of the conceptual framework underlying financial accounting, as well as an in-depth look at accounting
for assets and the statement of cash flows. While heavily mechanical, attention will be devoted to the economic
environment in which financial accountants work, as well as the incentives and consequences associated with specific
accounting choices.
Core Curriculum/Core Requirements:
Prerequisites: A grade of C- or better in ACC 202, sophomore standing.
Course Typically Offered: Fall & Spring
Credits: 3","A grade of C- or better in ACC 202, sophomore standing.",Fall & Spring,3
ACC 302,**Intermediate Accounting II**,"A continuation of ACC 301, this course focuses on the recognition, measurement, and presentation of accounting
information related to (among others) investment, general liabilities and contingencies, income taxes, lease obligations,
pension liabilities, and equity. It further focuses on the preparation, calculation and interpretation of financial measures
including earnings per share.
Core Curriculum/Core Requirements: Writing Intensive
Prerequisites: A grade of C- or better in ACC 301; sophomore standing.
Course Typically Offered: Spring & Fall
Credits: 3",A grade of C- or better in ACC 301; sophomore standing.,Spring & Fall,3
ACC 305,**Cost Accounting**,"The course includes concepts of cost and overhead allocation, cost systems (activity-based, job order, process, and
standard), budgeting, cost behavior and CVP analysis including an introduction to regression using Excel.
Core Curriculum/Core Requirements:
Prerequisites: Junior Standing and a grade of C- or better in ACC 202.
Course Typically Offered: Fall
Credits: 3",Junior Standing and a grade of C- or better in ACC 202.,Fall,3
ACC 312,**Federal Income Taxation**,"A study of federal income tax laws as they affect individuals and businesses. The course takes a conceptual approach to
understanding income tax principles such as gross income, exclusions, deductions, credits, capital gains and losses,
property transactions, and other investment and business issues. The course provides a detailed coverage of individual
income tax, along with an introductory coverage of other entities including corporations, partnerships and S
corporations.
Core Curriculum/Core Requirements:
Prerequisites: A grade of C- or better in ACC 202, junior standing.
Course Typically Offered: Fall
Credits: 3","A grade of C- or better in ACC 202, junior standing.",Fall,3
ACC 315,**Accounting Information System**,"This course is an introduction to accounting information systems, internal controls, business processes, and data
analytics. The course helps students understand the role of accounting in collecting, storing, and communication
information for management planning and control. It also provides students with hands-on experience in using some
data analytical tools to manage and analyze data. If this course was taken under as a topics course in ACC 490, it cannot
be repeated for credit.
Prerequisites: Sophomore standing and a grade of C- or better in ACC 202
Course Typically Offered: Spring
Credits: 3",Sophomore standing and a grade of C- or better in ACC 202,Spring,3
ACC 396,**Field Experience/Internship in Accounting**,"Students may earn from one to six credit hours for a pre-planned, supervised field experience in business relevant to the
student’s educational development and career goals. Credit will not be awarded for work experience acquired prior to
registration for this course. (Pass/Fail Grade Only.)
Course can be repeated 9 completions for a total of 54 of credits
Core Curriculum/Core Requirements:
Prerequisites: Business Majors with 2.50 GPA or better; Junior Standing
Course Typically Offered: Fall, Spring, Summer
Credits: 1-6",Business Majors with 2.50 GPA or better; Junior Standing,"Fall, Spring, Summer",1-6
ACC 406,**Advanced Managerial Accounting**,"This course is a continuation of ACC 305, focusing on contemporary management accounting tools such as Strategic and
Activity Based Management, Lean Accounting, the Balanced Scorecard, Productivity Measurement and Control, Quality
and Environmental Costing, JIT Inventory Management and the Theory of Constraints.
Core Curriculum/Core Requirements:
Prerequisites: A grade of C- or better in ACC 305; junior standing. Graduate business students can take the course
with permission of the instructor.
Course Typically Offered: Spring
Credits: 3",A grade of C- or better in ACC 305; junior standing. Graduate business students can take the course,Spring,3
ACC 409,**Accounting for Governmental and Not-For-Profit Entities**,"Financial accounting for not-for-profit and governmental entities and hospitals, voluntary health and welfare
organizations. Includes fund accounting. GASB statements.
Core Curriculum/Core Requirements:
Prerequisites: A grade of C- or better in ACC 201; junior standing.
Course Typically Offered: Spring
Credits: 3",A grade of C- or better in ACC 201; junior standing.,Spring,3
ASL 101,**Elementary American Sign Language I**,"Introduction to American Sign Language syntax, morphology, phonology, history and culture. Focus on dialogue.
Core Curriculum/Core Requirements:
Course Typically Offered: Fall, Spring, Summer
Credits: 4",None,"Fall, Spring, Summer",4
AVS 104,**Fundamentals of Animal-Assisted Therapy**,"Introduction to animal-assisted therapy, including history and evidence-based research. The course will cover physical
(i.e. fine and gross motor skills, balance and other mobility issues) and psychological benefits from animal-assisted
activities, education (i.e. Reading with Rover) and intervention. Guidance on using animal-assisted therapy with
children, families and the elderly, in counseling and psychotherapy settings and for treating a variety of specific
disorders will be provided. Students will learn how to design and implement animal-assisted interventions and about the
efficacy of animal-assisted therapy with different disorders and patient populations. The importance of species selection
for therapeutic modalities, animal care and zoonotic concerns are addressed.
Course Typically Offered: Spring
Credits: 3",None,Spring,3
AVS 107,**Dog Sports & Service Dog Training**,"This is an introduction to dog sports and how these training techniques relate to owner-trained service dogs. A service
dog is one specially trained to perform a task or work that aids a person with a physical or emotional disability, allowing
them more freedom to live independently. The course will cover basic psychological principles of operant conditioning
used with animal training. There will be hands-on opportunities for basic dog training that require the application of
operant learning techniques. Dogs will be provided; other dogs will need to be pre-approved.
Course Typically Offered: Variable
Credits: 3",None,Variable,3
AVS 145,**Introduction to Animal Science**,"Participants will be introduced to the scientific fundamentals of animal sciences, including animal nutrition, genetics
and breeding, reproduction, microbiology, health, management of major domesticated animal species, and current
topics, including food safety, animal welfare, and sustainable agriculture.
Core Curriculum/Core Requirements:
Prerequisites: Animal Science, Zoology, or Sustainable Agriculture major or permission
Course Typically Offered: Fall
Credits: 3","Animal Science, Zoology, or Sustainable Agriculture major or permission",Fall,3
AVS 196,**Introduction to Equine Cooperative**,"Introductory field experience in the handling and care of the University of Maine equine herd.
Course Note: May be repeated for credit for 8 completions with a total of 8 credits.
Core Curriculum/Core Requirements:
Course Typically Offered: Fall, Spring, Summer
Credits: 0-1",None,"Fall, Spring, Summer",0-1
AVS 203,**Equine Management**,"An introductory course designed to familiarize students with the equine industry and with the principles of equine
anatomy, nutrition, disease management and routine care. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: BIO 100 and sophomore standing.
Course Typically Offered: Spring
Credits: 3",BIO 100 and sophomore standing.,Spring,3
AVS 249,**Laboratory and Companion Animal Science**,"An introduction to laboratory and companion animal science. Species covered include dogs, cats, birds, reptiles,
amphibians, rodents, ferrets, rabbits, and horses. Topics include characteristics of each species, welfare, uses, anatomy,
physiology, behavior, breeding, genetics, nutrition, health, handling, care and career opportunities.
Core Curriculum/Core Requirements:
Prerequisites: Grade of C- or higher in AVS 145 and Sophomore standing
Course Typically Offered: Spring
Credits: 3",Grade of C- or higher in AVS 145 and Sophomore standing,Spring,3
AVS 254,**Introduction to Animal Microbiomes**,"This course introduces students to host-associated microbiomes; the genomic collection of bacteria, archaea, fungi,
protozoa, and viruses present in a host ecosystem. In each lecture, we will focus on an anatomical location, and discuss
the host and environmental pressures which select for the resident microbial community. The material is primarily in
animals (mammals, birds, fish, amphibians) but includes some human-specific comparisons. This course will introduce
ecological theories (e.g. environmental selection, neutral theory) in the context of microbial communities, the history of
host-associated microbiology, and how technology has contributed to or limited our understanding of organisms and
their critical role in our health and development. The skill-set objectives includes group discussions, reading scientific
literature, and scientific writing in a variety of styles and both technical and non-technical formats.
Core Curriculum/Core Requirements: Population and Environment
Prerequisites: BIO 200 or BIO 208 or BMB 155 or BMB 280 or SMS 201; or instructor’s permission
Course Typically Offered: Fall
Credits: 3",BIO 200 or BIO 208 or BMB 155 or BMB 280 or SMS 201; or instructor’s permission,Fall,3
AVS 346,**Dairy Cattle Technology**,"Fundamentals of applied dairy cattle management. Areas covered include industry trends, lactation, genetics,
reproduction, nutrition, health, housing and financial principles and practices involved in operating and managing a
modern dairy herd.
Core Curriculum/Core Requirements:
Prerequisites: Grade of C- or higher in AVS 145.
Course Typically Offered: Fall
Credits: 3",Grade of C- or higher in AVS 145.,Fall,3
AVS 347,**Dairy Cattle Technology Laboratory**,"Student will gain “hands-on” livestock experience through the management of the dairy herd at University of Maine
Witter Farm. Responsibilities will include the feeding, milking, reproduction, health, finances and marketing of the
cattle and milk products produced. Under the guidance of faculty, staff and student advisors, students evaluate herd
performance, identify problems, form strategies and implement management decisions that affect the operation of the
dairy. The first of a two-course sequence (with AVS 371, University Dairy Cooperative) involving dairy work experience
at the Witter Farm. Lab 4.
Core Curriculum/Core Requirements:
Prerequisites: AVS 346 or concurrently.
Course Typically Offered: Fall, Spring, Summer
Credits: 2",AVS 346 or concurrently.,"Fall, Spring, Summer",2
AVS 368,**Independent Study in the Animal Sciences**,"An in-depth study into a specific area to be approved by the staff advisor at time of registration. (1) breeding, (2) disease,
(3) management, (4) nutrition, (5) physiology. Not more than five credit hours will be permitted toward graduation.
Course may be repeated for credit.
Core Curriculum/Core Requirements:
Prerequisites: AVS 145 and permission.
Course Typically Offered: Fall, Spring, Summer
Credits: Ar",AVS 145 and permission.,"Fall, Spring, Summer",N/A
AVS 371,**University Dairy Cooperative**,"Students are responsible for the management of the University dairy herd, including: feeding, milking, reproduction,
maintenance and marketing. Students, along with faculty advisors and the herdsperson, make management decisions
that affect the day to day operation of the University dairy.
Core Curriculum/Core Requirements:
Prerequisites: AVS 346 and AVS 347.
Course Typically Offered: Fall & Spring
Credits: 4",AVS 346 and AVS 347.,Fall & Spring,4
AVS 396,**Field Experience in Animal and Veterinary Science**,"An approved program of work experience which contributes to the academic major for which academic credit is given.
Students may work part time or full time for a semester in a job related to their professional career goals.
(Pass/Fail Grade Only.)
Course note: Maybe be repeated for credits for a total of 9 completions and 144 credits.
Core Curriculum/Core Requirements:
Prerequisites: permission.
Course Typically Offered: Fall, Spring, Summer
Credits: 1 - 16",permission.,"Fall, Spring, Summer",1
AVS 397,**Equine Internship**,"Field experience in the equine industry, or with an equine veterinarian.
Course note: May be repeated for credit for 36 completions and a total of 36 credits.
Core Curriculum/Core Requirements:
Prerequisites: AVS 303 or permission.
Course Typically Offered: Fall, Spring, Summer
Credits: 1-4",AVS 303 or permission.,"Fall, Spring, Summer",1-4
AVS 402,**Capstone in Animal Science II**,"Students participate in hands-on learning experiences based on their academic interest, career goals, faculty mentor,
and available resources. Students may opt to conduct hands-on research experiences stemming from either the proposal
written in AVS 401 Capstone in Animal Science I, conduct a different research project, develop a business plan, or
conduct a non-research project based on their interest in AVS (could be an internship experience). In this course,
students present a poster presentation to the instructor and other students at an AVS symposium.",None,Unknown,N/A
AVS 405,**Livestock and Companion Animal Behavior**,"Provides both theoretical and practical knowledge of livestock and companion animal behavior. Enables students to
understand why simple improvements in management practices can bring about tremendous changes in production and
performance of the animals as well as improve the ease of handling for their human caregivers. A background in the
human-animal bond and the impact of humans on livestock and companion animals will be provided. Designed for
animal and veterinary scientists, graduate students interested in the human-animal bond and animal-assisted therapy,
and those who wish to understand more about the behavior of their companion animals.
Core Curriculum/Core Requirements:
Prerequisites: Grade of C- or higher in AVS 145 and Junior standing
Course Typically Offered: Fall, Even Years
Credits: 3",Grade of C- or higher in AVS 145 and Junior standing,"Fall, Even Years",3
AVS 411,**Advanced Aquaculture**,"Advanced aquaculture will build upon the foundations of the Introduction to Aquaculture course (AVS/SMS 211).
Students will be exposed to more advanced concepts including aquaculture engineering and system design; broodstock
management; live feeds and algae production; economics and marketing; as well as biosecurity. Application of principles
and concepts presented in this class will be emphasized. At the conclusion of this course students should have a firm
grasp of critical concepts in aquaculture and be better prepared for careers in private, state, and federal organizations as
well as academia.",None,Unknown,N/A
AVS 437,**Animal Diseases**,"Introduction to the study of disease in animals, including the causes, pathology and control of diseases of domestic
animals. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: BIO 377 or permission.
Course Typically Offered: Spring
Credits: 3",BIO 377 or permission.,Spring,3
AVS 446,**Forage Science and Range Management**,"Participants will be introduced to the biological fundamentals needed for understanding and managing forage and
grassland resources used to feed livestock and wildlife.",None,Unknown,N/A
AVS 455,**Animal Nutrition**,"An increased efficiency of nutrient use is not only imperative for achieving profitability in the currently globalized
livestock markets, but also for the sustainable use of natural resources and climate change mitigation. Considering that
around 70% of the costs of raising animals is due to feeding and that global demand for animal products is increasing,
understanding the basic foundations of animal nutrition is essential for professionals that work with livestock, poultry,
companion animals, and wildlife. This course will cover the biochemistry of nutrient use, gastrointestinal physiology and
metabolism, feedstuff nutritional analysis, mathematical modeling of nutrient requirements, and the life-cycle of feeding
animals. AVS 455 and AVS 555 cannot both be taken for credit.
Core Curriculum/Core Requirements:
Prerequisites: Junior Standing; BMB 208 and BMB 210 or CHY 122 and CHY 124, and BIO 200 or BIO 208 or SMS
201
Course Typically Offered: Fall
Credits: 3","Junior Standing; BMB 208 and BMB 210 or CHY 122 and CHY 124, and BIO 200 or BIO 208 or SMS",Fall,3
AVS 466,**Livestock Feeds and Feeding**,"The practical application of nutrition to the production of livestock. Topics discussed include feed types and sources,
feed composition and quality, nutritional requirements of various livestock and the formulation and evaluation of
rations to meet nutritional needs and optimize animal performance.
Core Curriculum/Core Requirements:
Prerequisites: AVS 455
Course Typically Offered: Spring
Credits: 2",AVS 455,Spring,2
AVS 480,**Physiology of Reproduction**,"Comparative development and functions of the reproductive process in domestic animals. Lec 3.
Core Curriculum/Core Requirements:
Prerequisites: Junior standing and Pre- or Co-requisite of BIO 377
Course Typically Offered: Fall
Credits: 3
Anthropology",Junior standing and Pre- or Co-requisite of BIO 377,Fall,3
ANT 101,**Introduction to Anthropology: Human Origins and Prehistory**,"A survey course focusing on the evolution of humankind, the development of culture, and the beginnings of civilization.
Required for Anthropology majors.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Fall
Credits: 3",None,Fall,3
ANT 120,**Religions of the World**,"A survey of the distinctive features of the major world religions and the most studied Native American, African and
aboriginal Australian religions. Focuses on the fit between myth and ritual, the problems involved in trying to
understand both “from the believer’s point of view,” and what generalizations can be made about religion in general.
Core Curriculum/Core Requirements: Social Contexts and Institutions and Cultural Diversity and International
Perspectives
Course Typically Offered: Fall, Spring, Summer
Credits: 3",None,"Fall, Spring, Summer",3
ANT 207,**Contemporary Archaeology**,"An overview of the human record as determined by archaeology using examples drawn from the global experience.
Core Curriculum/Core Requirements: Cultural Diversity and International Perspectives
Course Typically Offered: Spring
Credits: 3",None,Spring,3
ANT 210,**Biological Anthropology**,"Introduces current topics in human biology and evolution including human origins and the fossil record, human genetics
and population variability, and human and non-human primate behavior.
Core Curriculum/Core Requirements: Applications of Scientific Knowledge
Course Typically Offered: Variable
Credits: 3",None,Variable,3
ANT 213,**Environmental Anthropology**,"The field of environmental anthropology explores human-environment relations around the globe and from prehistory
to the present. It also strives to understand environmental issues and knowledge, not only from a Western scientific
point of view, but also from the perspectives of people from other cultural backgrounds. In this class, students will
survey the field of environmental anthropology and apply its method and theory to a problem where they live.
Core Curriculum/Core Requirements: Population and the Environment
Prerequisites: ANT 102 or SOC 101, or permission of instructor.
Course Typically Offered: Spring
Credits: 3","ANT 102 or SOC 101, or permission of instructor.",Spring,3
ANT 221,**Introduction to Folklore**,"A survey of the different genres of folklore, its forms, uses, functions and modes of transmission. Emphasis on belief,
custom and legend.
Core Curriculum/Core Requirements: Western Cultural Tradition and the Cultural Diversity and International
Perspectives
Course Typically Offered: Fall
Credits: 3",None,Fall,3
ANT 235,**Cultural Perceptions of Nature**,"Examines the concept of nature in a variety of cultural contexts. Emphasis is on the development of contemporary views
and their impacts on environmental management.
Core Curriculum/Core Requirements: Population and the Environment
Course Typically Offered: Alternate years
Credits: 3",None,Alternate years,3
